season,competition_stage,competition,match_status,match_week,home_team,home_team_id,home_managers,away_team_id,away_team,away_managers,stadium_id,referee_id,is_youth,is_international,country_name,season_name,count(DISTINCT match_id)
2019/2020,Regular Season,FA Women's Super League,available,17,Everton LFC,967,"[{""id"":639,""name"":""Willie Kirk"",""nickname"":null,""dob"":""1978-06-07"",""country"":{""id"":201,""name"":""Scotland""}}]",1475,Manchester United,"[{""id"":2926,""name"":""Casey Stoney"",""nickname"":null,""dob"":""1982-05-13"",""country"":{""id"":68,""name"":""England""}}]",4989,1809,false,false,England,2019/2020,1
2022,Quarter-finals,FIFA World Cup,available,5,England,768,"[{""id"":277,""name"":""Gareth Southgate"",""nickname"":null,""dob"":""1970-09-03"",""country"":{""id"":68,""name"":""England""}}]",771,France,"[{""id"":545,""name"":""Didier Deschamps"",""nickname"":null,""dob"":""1968-10-15"",""country"":{""id"":78,""name"":""France""}}]",1001113,986,false,true,International,2022,1
2015/2016,Regular Season,1. Bundesliga,available,23,FSV Mainz 05,177,"[{""id"":186,""name"":""Martin Schmidt"",""nickname"":null,""dob"":""1967-04-12"",""country"":{""id"":221,""name"":""Switzerland""}}]",904,Bayer Leverkusen,"[{""id"":1002246,""name"":""Markus Krösche"",""nickname"":null,""dob"":""1980-09-17"",""country"":{""id"":85,""name"":""Germany""}}]",374,231,false,false,Germany,2015/2016,1
2019/2020,Regular Season,FA Women's Super League,available,7,Birmingham City WFC,969,"[{""id"":1817,""name"":""Marta Tejedor"",""nickname"":null,""dob"":""1968-12-23"",""country"":{""id"":45,""name"":""Chile""}}]",971,Chelsea FCW,"[{""id"":152,""name"":""Emma Hayes"",""nickname"":null,""dob"":""1976-10-18"",""country"":{""id"":68,""name"":""England""}}]",5332,893,false,false,England,2019/2020,1
2017/2018,Regular Season,La Liga,available,12,Leganés,205,"[{""id"":84,""name"":""Asier Garitano Aguirrezábal"",""nickname"":""Asier Garitano"",""dob"":""1969-12-06"",""country"":{""id"":214,""name"":""Spain""}}]",217,Barcelona,"[{""id"":227,""name"":""Ernesto Valverde Tejedor"",""nickname"":""Ernesto Valverde"",""dob"":""1964-02-09"",""country"":{""id"":214,""name"":""Spain""}}]",355,221,false,false,Spain,2017/2018,1
2023,Quarter-finals,African Cup of Nations,available,5,Nigeria,775,"[{""id"":523,""name"":""José Vítor dos Santos Peseiro"",""nickname"":""José Peseiro"",""dob"":""1960-04-04"",""country"":{""id"":183,""name"":""Portugal""}}]",4901,Angola,"[{""id"":1000419,""name"":""Pedro Valdemar Soares Gonçalves"",""nickname"":""Pedro Gonçalves"",""dob"":""1976-02-07"",""country"":{""id"":183,""name"":""Portugal""}}]",117916,1003564,false,true,Africa,2023,1
2015/2016,Regular Season,Serie A,available,20,Atalanta,228,"[{""id"":3567,""name"":""Edoardo Reja"",""nickname"":null,""dob"":""1945-10-10"",""country"":{""id"":112,""name"":""Italy""}}]",238,Inter Milan,"[{""id"":2997,""name"":""Roberto Mancini"",""nickname"":null,""dob"":""1964-11-27"",""country"":{""id"":112,""name"":""Italy""}}]",4954,419,false,false,Italy,2015/2016,1
2015/2016,Regular Season,1. Bundesliga,available,26,Borussia Mönchengladbach,185,"[{""id"":3650,""name"":""André Schubert"",""nickname"":null,""dob"":""1971-07-24"",""country"":{""id"":85,""name"":""Germany""}}]",184,Eintracht Frankfurt,"[{""id"":374,""name"":""Niko Kovač"",""nickname"":null,""dob"":""1971-10-15"",""country"":{""id"":56,""name"":""Croatia""}}]",372,1009035,false,false,Germany,2015/2016,1
2015/2016,Regular Season,Serie A,available,36,Udinese,230,"[{""id"":1003077,""name"":""Luigi De Canio"",""nickname"":null,""dob"":""1957-09-26"",""country"":{""id"":112,""name"":""Italy""}}]",241,Torino,"[{""id"":710,""name"":""Gian Piero Ventura\t"",""nickname"":null,""dob"":""1948-01-14"",""country"":{""id"":112,""name"":""Italy""}}]",385,252,false,false,Italy,2015/2016,1
2015/2016,Regular Season,Premier League,available,27,Newcastle United,37,"[{""id"":148,""name"":""Rafael Benítez Maudes"",""nickname"":""Rafael Benítez"",""dob"":""1960-04-16"",""country"":{""id"":214,""name"":""Spain""}}]",36,Manchester City,"[{""id"":733,""name"":""Manuel Luis Pellegrini Ripamonti"",""nickname"":""Manuel Pellegrini"",""dob"":""1953-09-16"",""country"":{""id"":45,""name"":""Chile""}}]",4674,12,false,false,England,2015/2016,1
2015/2016,Regular Season,Premier League,available,25,Newcastle United,37,"[{""id"":40,""name"":""Steve McClaren"",""nickname"":null,""dob"":""1961-05-03"",""country"":{""id"":68,""name"":""England""}}]",27,West Bromwich Albion,"[{""id"":300,""name"":""Tony Pulis"",""nickname"":null,""dob"":""1958-01-16"",""country"":{""id"":249,""name"":""Wales""}}]",4674,10,false,false,England,2015/2016,1
2015/2016,Regular Season,1. Bundesliga,available,11,Wolfsburg,179,"[{""id"":411,""name"":""Dieter Hecking"",""nickname"":null,""dob"":""1964-09-12"",""country"":{""id"":85,""name"":""Germany""}}]",904,Bayer Leverkusen,"[{""id"":3980,""name"":""Roger Schmidt"",""nickname"":null,""dob"":""1967-03-13"",""country"":{""id"":85,""name"":""Germany""}}]",4849,230,false,false,Germany,2015/2016,1
2023/2024,Regular Season,1. Bundesliga,available,26,Freiburg,183,"[{""id"":47,""name"":""Christian Streich"",""nickname"":null,""dob"":""1965-06-11"",""country"":{""id"":85,""name"":""Germany""}}]",904,Bayer Leverkusen,"[{""id"":1000310,""name"":""Xabier Alonso Olano"",""nickname"":""Xabi Alonso"",""dob"":""1981-11-25"",""country"":{""id"":214,""name"":""Spain""}}]",1000498,234,false,false,Germany,2023/2024,1
2009/2010,Regular Season,La Liga,available,19,Real Valladolid,901,"[{""id"":221,""name"":""José Luis Mendilibar Etxebarria"",""nickname"":""José Luis Mendilibar"",""dob"":""1961-03-14"",""country"":{""id"":214,""name"":""Spain""}}]",217,Barcelona,"[{""id"":36,""name"":""Josep Guardiola i Sala"",""nickname"":""Pep Guardiola"",""dob"":""1971-01-18"",""country"":{""id"":214,""name"":""Spain""}}]",622,1000,false,false,Spain,2009/2010,1
2015/2016,Regular Season,Ligue 1,available,29,Rennes,134,"[{""id"":1001260,""name"":""Rolland Courbis"",""nickname"":null,""dob"":""1953-08-12"",""country"":{""id"":78,""name"":""France""}}]",144,Nantes,"[{""id"":438,""name"":""Michel Der Zakarian"",""nickname"":null,""dob"":""1963-02-18"",""country"":{""id"":12,""name"":""Armenia""}}]",,78,false,false,France,2015/2016,1
2023/2024,Regular Season,1. Bundesliga,available,32,Eintracht Frankfurt,184,"[{""id"":704,""name"":""Dino Toppmöller"",""nickname"":null,""dob"":""1980-11-23"",""country"":{""id"":85,""name"":""Germany""}}]",904,Bayer Leverkusen,"[{""id"":1000310,""name"":""Xabier Alonso Olano"",""nickname"":""Xabi Alonso"",""dob"":""1981-11-25"",""country"":{""id"":214,""name"":""Spain""}}]",116458,237,false,false,Germany,2023/2024,1
2015/2016,Regular Season,Premier League,available,36,Newcastle United,37,"[{""id"":148,""name"":""Rafael Benítez Maudes"",""nickname"":""Rafael Benítez"",""dob"":""1960-04-16"",""country"":{""id"":214,""name"":""Spain""}}]",31,Crystal Palace,"[{""id"":382,""name"":""Alan Pardew"",""nickname"":null,""dob"":""1961-07-18"",""country"":{""id"":68,""name"":""England""}}]",4674,6,false,false,England,2015/2016,1
2022,Group Stage,FIFA World Cup,available,1,Mexico,794,"[{""id"":163,""name"":""Gerardo Daniel Martino"",""nickname"":""Gerardo Martino"",""dob"":""1962-11-20"",""country"":{""id"":11,""name"":""Argentina""}}]",789,Poland,"[{""id"":5294,""name"":""Czesław Michniewicz"",""nickname"":null,""dob"":""1970-02-12"",""country"":{""id"":182,""name"":""Poland""}}]",1001115,1701,false,true,International,2022,1
2015/2016,Regular Season,Ligue 1,available,19,Caen,140,"[{""id"":439,""name"":""Patrice Garande"",""nickname"":null,""dob"":""1960-11-27"",""country"":{""id"":78,""name"":""France""}}]",131,Paris Saint-Germain,"[{""id"":3802,""name"":""Laurent Blanc"",""nickname"":null,""dob"":""1965-11-19"",""country"":{""id"":78,""name"":""France""}}]",4827,1948,false,false,France,2015/2016,1
2009/2010,Regular Season,La Liga,available,7,Valencia,207,"[{""id"":21,""name"":""Unai Emery Etxegoien"",""nickname"":""Unai Emery"",""dob"":""1971-11-03"",""country"":{""id"":214,""name"":""Spain""}}]",217,Barcelona,"[{""id"":36,""name"":""Josep Guardiola i Sala"",""nickname"":""Pep Guardiola"",""dob"":""1971-01-18"",""country"":{""id"":214,""name"":""Spain""}}]",344,1007,false,false,Spain,2009/2010,1
2015/2016,Regular Season,La Liga,available,5,Espanyol,214,"[{""id"":576,""name"":""Sergio González Soriano"",""nickname"":""Sergio"",""dob"":""1976-11-10"",""country"":{""id"":214,""name"":""Spain""}}]",207,Valencia,"[{""id"":396,""name"":""Nuno Herlander Simões Espírito Santo"",""nickname"":""Nuno Espírito Santo"",""dob"":""1974-01-25"",""country"":{""id"":183,""name"":""Portugal""}}]",351,218,false,false,Spain,2015/2016,1
2004/2005,Regular Season,La Liga,available,32,Barcelona,217,"[{""id"":4953,""name"":""Frank Rijkaard"",""nickname"":null,""dob"":""1962-09-30"",""country"":{""id"":160,""name"":""Netherlands""}}]",216,Getafe,"[{""id"":236,""name"":""Enrique Sánchez Flores"",""nickname"":""Quique Sánchez Flores"",""dob"":""1965-02-05"",""country"":{""id"":214,""name"":""Spain""}}]",342,995,false,false,Spain,2004/2005,1
2011/2012,Regular Season,La Liga,available,12,Athletic Club,215,"[{""id"":269,""name"":""Marcelo Alberto Bielsa Caldera"",""nickname"":""Marcelo Bielsa"",""dob"":""1955-07-21"",""country"":{""id"":11,""name"":""Argentina""}}]",217,Barcelona,"[{""id"":36,""name"":""Josep Guardiola i Sala"",""nickname"":""Pep Guardiola"",""dob"":""1971-01-18"",""country"":{""id"":214,""name"":""Spain""}}]",4637,1013,false,false,Spain,2011/2012,1
2015/2016,Regular Season,La Liga,available,33,Eibar,322,"[{""id"":221,""name"":""José Luis Mendilibar Etxebarria"",""nickname"":""José Luis Mendilibar"",""dob"":""1961-03-14"",""country"":{""id"":214,""name"":""Spain""}}]",210,Real Sociedad,"[{""id"":229,""name"":""Eusebio Sacristán Mena"",""nickname"":""Eusebio Sacristán"",""dob"":""1964-04-13"",""country"":{""id"":214,""name"":""Spain""}}]",347,2692,false,false,Spain,2015/2016,1
2015/2016,Regular Season,Ligue 1,available,25,Angers,145,"[{""id"":301,""name"":""Stéphane Moulin"",""nickname"":null,""dob"":""1967-08-04"",""country"":{""id"":78,""name"":""France""}}]",137,Lyon,"[{""id"":283,""name"":""Bruno Génésio"",""nickname"":null,""dob"":""1966-09-01"",""country"":{""id"":78,""name"":""France""}}]",153,104,false,false,France,2015/2016,1
2021/2022,Regular Season,Indian Super league,available,18,Jamshedpur,2021,"[{""id"":1000617,""name"":""Owen Columba Coyle"",""nickname"":null,""dob"":""1966-07-14"",""country"":{""id"":201,""name"":""Scotland""}}]",7283,Kerala Blasters,"[{""id"":1000614,""name"":""Ivan Vukomanović"",""nickname"":null,""dob"":""1977-06-19"",""country"":{""id"":203,""name"":""Serbia""}}]",5810,1004981,false,false,India,2021/2022,1
2015/2016,Regular Season,Ligue 1,available,8,Caen,140,"[{""id"":439,""name"":""Patrice Garande"",""nickname"":null,""dob"":""1960-11-27"",""country"":{""id"":78,""name"":""France""}}]",160,Gazélec Ajaccio,"[{""id"":121,""name"":""Thierry Laurey"",""nickname"":null,""dob"":""1964-02-17"",""country"":{""id"":78,""name"":""France""}}]",4827,1948,false,false,France,2015/2016,1
2015/2016,Regular Season,Serie A,available,31,Fiorentina,239,"[{""id"":1798,""name"":""Paulo Manuel Carvalho de Sousa"",""nickname"":""Paulo Sousa"",""dob"":""1970-08-30"",""country"":{""id"":183,""name"":""Portugal""}}]",234,Sampdoria,"[{""id"":232,""name"":""Vincenzo Montella"",""nickname"":null,""dob"":""1974-06-18"",""country"":{""id"":112,""name"":""Italy""}}]",386,1008197,false,false,Italy,2015/2016,1
2015/2016,Regular Season,Ligue 1,available,10,Marseille,147,"[{""id"":505,""name"":""José Miguel González Martín del Campo"",""nickname"":""Míchel"",""dob"":""1963-03-23"",""country"":{""id"":214,""name"":""Spain""}}]",165,Lorient,"[{""id"":2983,""name"":""Sylvain Ripoll"",""nickname"":null,""dob"":""1971-08-15"",""country"":{""id"":78,""name"":""France""}}]",656,84,false,false,France,2015/2016,1
2015/2016,Regular Season,1. Bundesliga,available,4,Schalke 04,181,"[{""id"":58,""name"":""André Breitenreiter"",""nickname"":null,""dob"":""1973-10-02"",""country"":{""id"":85,""name"":""Germany""}}]",177,FSV Mainz 05,"[{""id"":186,""name"":""Martin Schmidt"",""nickname"":null,""dob"":""1967-04-12"",""country"":{""id"":221,""name"":""Switzerland""}}]",370,244,false,false,Germany,2015/2016,1
2015/2016,Regular Season,Serie A,available,15,Hellas Verona,226,"[{""id"":664,""name"":""Luigi Delneri"",""nickname"":null,""dob"":""1950-08-23"",""country"":{""id"":112,""name"":""Italy""}}]",290,Empoli,"[{""id"":605,""name"":""Marco Giampaolo"",""nickname"":null,""dob"":""1967-08-02"",""country"":{""id"":112,""name"":""Italy""}}]",4488,253,false,false,Italy,2015/2016,1
2015/2016,Regular Season,Premier League,available,35,Tottenham Hotspur,38,"[{""id"":81,""name"":""Mauricio Roberto Pochettino Trossero"",""nickname"":""Mauricio Pochettino"",""dob"":""1972-03-02"",""country"":{""id"":11,""name"":""Argentina""}}]",27,West Bromwich Albion,"[{""id"":300,""name"":""Tony Pulis"",""nickname"":null,""dob"":""1958-01-16"",""country"":{""id"":249,""name"":""Wales""}}]",99148,14,false,false,England,2015/2016,1
2020/2021,Regular Season,FA Women's Super League,available,6,Birmingham City WFC,969,"[{""id"":3978,""name"":""Carla Ward"",""nickname"":null,""dob"":""1982-12-21"",""country"":{""id"":68,""name"":""England""}}]",972,West Ham United LFC,"[{""id"":139,""name"":""Matt Beard"",""nickname"":null,""dob"":""1978-01-09"",""country"":{""id"":68,""name"":""England""}}]",5332,2127,false,false,England,2020/2021,1
2010/2011,Regular Season,La Liga,available,8,Real Zaragoza,395,"[{""id"":4958,""name"":""José Aurelio Gay López"",""nickname"":""José Aurelio Gay"",""dob"":""1965-12-10"",""country"":{""id"":214,""name"":""Spain""}}]",217,Barcelona,"[{""id"":36,""name"":""Josep Guardiola i Sala"",""nickname"":""Pep Guardiola"",""dob"":""1971-01-18"",""country"":{""id"":214,""name"":""Spain""}}]",4457,1001,false,false,Spain,2010/2011,1
2015/2016,Regular Season,La Liga,available,22,Barcelona,217,"[{""id"":793,""name"":""Luis Enrique Martínez García"",""nickname"":""Luis Enrique"",""dob"":""1970-05-08"",""country"":{""id"":214,""name"":""Spain""}}]",212,Atlético Madrid,"[{""id"":230,""name"":""Diego Pablo Simeone"",""nickname"":""Diego Simeone"",""dob"":""1970-04-28"",""country"":{""id"":11,""name"":""Argentina""}}]",342,221,false,false,Spain,2015/2016,1
2018,Group Stage,FIFA World Cup,available,3,Spain,772,"[{""id"":643,""name"":""Fernando Ruiz Hierro"",""nickname"":""Fernando Hierro"",""dob"":""1968-03-23"",""country"":{""id"":214,""name"":""Spain""}}]",788,Morocco,"[{""id"":642,""name"":""Hervé Renard"",""nickname"":null,""dob"":""1968-09-30"",""country"":{""id"":78,""name"":""France""}}]",4260,735,false,true,International,2018,1
2015/2016,Regular Season,Premier League,available,11,Newcastle United,37,"[{""id"":40,""name"":""Steve McClaren"",""nickname"":null,""dob"":""1961-05-03"",""country"":{""id"":68,""name"":""England""}}]",30,Stoke City,"[{""id"":55,""name"":""Mark Hughes"",""nickname"":null,""dob"":""1963-11-01"",""country"":{""id"":249,""name"":""Wales""}}]",4674,13,false,false,England,2015/2016,1
2025,Group Stage,UEFA Women's Euro,available,2,Norway Women's,852,"[{""id"":1007074,""name"":""Gemma Grainger"",""nickname"":""G.Grainger"",""dob"":""1982-07-17"",""country"":{""id"":68,""name"":""England""}}]",920,WNT Finland,"[{""id"":1006461,""name"":""Marko Saloranta"",""nickname"":null,""dob"":""1972-03-31"",""country"":{""id"":77,""name"":""Finland""}}]",4757,1009582,false,true,Europe,2025,1
2015/2016,Regular Season,Ligue 1,available,30,Toulouse,130,"[{""id"":433,""name"":""Pascal Dupraz"",""nickname"":null,""dob"":""1962-09-19"",""country"":{""id"":78,""name"":""France""}}]",146,Bordeaux,"[{""id"":752,""name"":""Willy Sagnol"",""nickname"":null,""dob"":""1977-03-18"",""country"":{""id"":78,""name"":""France""}}]",542,715,false,false,France,2015/2016,1
2017/2018,Regular Season,La Liga,available,16,Barcelona,217,"[{""id"":227,""name"":""Ernesto Valverde Tejedor"",""nickname"":""Ernesto Valverde"",""dob"":""1964-02-09"",""country"":{""id"":214,""name"":""Spain""}}]",219,RC Deportivo La Coruña,"[{""id"":235,""name"":""Cristóbal Parralo Aguilera"",""nickname"":""Cristóbal Parralo"",""dob"":""1967-08-21"",""country"":{""id"":214,""name"":""Spain""}}]",342,180,false,false,Spain,2017/2018,1
1970/1971,Final,Champions League,available,1,Ajax,806,"[{""id"":1003270,""name"":""Rinus Michels"",""nickname"":null,""dob"":""1928-02-09"",""country"":{""id"":160,""name"":""Netherlands""}}]",952,Panathinaikos,"[{""id"":1003271,""name"":""Ferenc Puskás"",""nickname"":null,""dob"":""1927-04-01"",""country"":{""id"":103,""name"":""Hungary""}}]",4666,1009028,false,false,Europe,1970/1971,1
2020/2021,Regular Season,La Liga,available,36,Levante UD,221,"[{""id"":219,""name"":""Francisco José López Fernández"",""nickname"":""Paco López"",""dob"":""1967-09-19"",""country"":{""id"":214,""name"":""Spain""}}]",217,Barcelona,"[{""id"":676,""name"":""Ronald Koeman"",""nickname"":null,""dob"":""1963-03-21"",""country"":{""id"":160,""name"":""Netherlands""}}]",350,2609,false,false,Spain,2020/2021,1
2024,Group Stage,UEFA Euro,available,2,Belgium,782,"[{""id"":48,""name"":""Domenico Tedesco"",""nickname"":null,""dob"":""1985-09-12"",""country"":{""id"":85,""name"":""Germany""}}]",905,Romania,"[{""id"":6237,""name"":""Edward Iordănescu"",""nickname"":null,""dob"":""1978-06-16"",""country"":{""id"":187,""name"":""Romania""}}]",363,367,false,true,Europe,2024,1
2015/2016,Regular Season,Premier League,available,12,Arsenal,1,"[{""id"":577,""name"":""Arsène Wenger"",""nickname"":null,""dob"":""1949-10-22"",""country"":{""id"":78,""name"":""France""}}]",38,Tottenham Hotspur,"[{""id"":81,""name"":""Mauricio Roberto Pochettino Trossero"",""nickname"":""Mauricio Pochettino"",""dob"":""1972-03-02"",""country"":{""id"":11,""name"":""Argentina""}}]",3,4,false,false,England,2015/2016,1
2024,Group Stage,Copa America,available,3,Jamaica,2305,"[{""id"":648,""name"":""Heimir Hallgrímsson"",""nickname"":null,""dob"":""1967-06-10"",""country"":{""id"":104,""name"":""Iceland""}}]",3563,Venezuela,"[{""id"":1001500,""name"":""Fernando Ariel Batista"",""nickname"":null,""dob"":""1970-08-20"",""country"":{""id"":11,""name"":""Argentina""}}]",117996,252,false,true,South America,2024,1
2021/2022,Regular Season,Ligue 1,available,26,Paris Saint-Germain,131,"[{""id"":81,""name"":""Mauricio Roberto Pochettino Trossero"",""nickname"":""Mauricio Pochettino"",""dob"":""1972-03-02"",""country"":{""id"":11,""name"":""Argentina""}}]",135,Saint-Étienne,"[{""id"":433,""name"":""Pascal Dupraz"",""nickname"":null,""dob"":""1962-09-19"",""country"":{""id"":78,""name"":""France""}}]",154,121,false,false,France,2021/2022,1
2005/2006,Regular Season,La Liga,available,14,Villarreal,222,"[{""id"":733,""name"":""Manuel Luis Pellegrini Ripamonti"",""nickname"":""Manuel Pellegrini"",""dob"":""1953-09-16"",""country"":{""id"":45,""name"":""Chile""}}]",217,Barcelona,"[{""id"":4953,""name"":""Frank Rijkaard"",""nickname"":null,""dob"":""1962-09-30"",""country"":{""id"":160,""name"":""Netherlands""}}]",361,997,false,false,Spain,2005/2006,1
2024,Final,Copa America,available,6,Argentina,779,"[{""id"":5677,""name"":""Lionel Sebastián Scaloni"",""nickname"":null,""dob"":""1978-05-16"",""country"":{""id"":11,""name"":""Argentina""}}]",769,Colombia,"[{""id"":5905,""name"":""Néstor Gabriel Lorenzo"",""nickname"":null,""dob"":""1966-02-28"",""country"":{""id"":11,""name"":""Argentina""}}]",5337,2638,false,true,South America,2024,1
2018/2019,Regular Season,FA Women's Super League,available,18,Arsenal WFC,968,"[{""id"":31,""name"":""Joseph Montemurro"",""nickname"":null,""dob"":""1969-09-13"",""country"":{""id"":14,""name"":""Australia""}}]",973,Bristol City WFC,"[{""id"":143,""name"":""Tanya Oxtoby"",""nickname"":null,""dob"":""1982-06-15"",""country"":{""id"":14,""name"":""Australia""}}]",456,915,false,false,England,2018/2019,1
2015/2016,Regular Season,Ligue 1,available,37,Lyon,137,"[{""id"":283,""name"":""Bruno Génésio"",""nickname"":null,""dob"":""1966-09-01"",""country"":{""id"":78,""name"":""France""}}]",129,AS Monaco,"[{""id"":427,""name"":""José Leonardo Nunes Alves Sousa Jardim"",""nickname"":""Leonardo Jardim"",""dob"":""1974-08-01"",""country"":{""id"":183,""name"":""Portugal""}}]",193,78,false,false,France,2015/2016,1
2015/2016,Regular Season,Serie A,available,15,Carpi,1683,"[{""id"":4149,""name"":""Fabrizio Castori"",""nickname"":null,""dob"":""1954-07-11"",""country"":{""id"":112,""name"":""Italy""}}]",243,AC Milan,"[{""id"":379,""name"":""Siniša Mihajlović"",""nickname"":null,""dob"":""1969-02-20"",""country"":{""id"":203,""name"":""Serbia""}}]",1001068,270,false,false,Italy,2015/2016,1
2011/2012,Regular Season,La Liga,available,5,Valencia,207,"[{""id"":21,""name"":""Unai Emery Etxegoien"",""nickname"":""Unai Emery"",""dob"":""1971-11-03"",""country"":{""id"":214,""name"":""Spain""}}]",217,Barcelona,"[{""id"":36,""name"":""Josep Guardiola i Sala"",""nickname"":""Pep Guardiola"",""dob"":""1971-01-18"",""country"":{""id"":214,""name"":""Spain""}}]",344,2535,false,false,Spain,2011/2012,1
2018/2019,Regular Season,FA Women's Super League,available,22,Reading WFC,974,"[{""id"":144,""name"":""Kelly Chambers"",""nickname"":null,""dob"":""1986-01-11"",""country"":{""id"":68,""name"":""England""}}]",971,Chelsea FCW,"[{""id"":152,""name"":""Emma Hayes"",""nickname"":null,""dob"":""1976-10-18"",""country"":{""id"":68,""name"":""England""}}]",577,937,false,false,England,2018/2019,1
2015/2016,Regular Season,La Liga,available,4,Sevilla,213,"[{""id"":21,""name"":""Unai Emery Etxegoien"",""nickname"":""Unai Emery"",""dob"":""1971-11-03"",""country"":{""id"":214,""name"":""Spain""}}]",209,Celta Vigo,"[{""id"":385,""name"":""Manuel Eduardo Berizzo"",""nickname"":""Eduardo Berizzo"",""dob"":""1969-11-13"",""country"":{""id"":11,""name"":""Argentina""}}]",349,2575,false,false,Spain,2015/2016,1
2015/2016,Regular Season,La Liga,available,2,Las Palmas,208,"[{""id"":745,""name"":""Francisco Herrera Lorenzo"",""nickname"":""Paco Herrera"",""dob"":""1953-12-02"",""country"":{""id"":214,""name"":""Spain""}}]",221,Levante UD,"[{""id"":1612,""name"":""Luis Lucas Alcaraz González"",""nickname"":""Lucas Alcaraz"",""dob"":""1966-06-21"",""country"":{""id"":214,""name"":""Spain""}}]",357,1015,false,false,Spain,2015/2016,1
2019/2020,Regular Season,FA Women's Super League,available,6,Reading WFC,974,"[{""id"":144,""name"":""Kelly Chambers"",""nickname"":null,""dob"":""1986-01-11"",""country"":{""id"":68,""name"":""England""}}]",973,Bristol City WFC,"[{""id"":143,""name"":""Tanya Oxtoby"",""nickname"":null,""dob"":""1982-06-15"",""country"":{""id"":14,""name"":""Australia""}}]",223,914,false,false,England,2019/2020,1
2015/2016,Regular Season,1. Bundesliga,available,30,Hannover 96,178,"[{""id"":319,""name"":""Daniel Stendel"",""nickname"":null,""dob"":""1974-04-04"",""country"":{""id"":85,""name"":""Germany""}}]",185,Borussia Mönchengladbach,"[{""id"":3650,""name"":""André Schubert"",""nickname"":null,""dob"":""1971-07-24"",""country"":{""id"":85,""name"":""Germany""}}]",378,240,false,false,Germany,2015/2016,1
2015/2016,Regular Season,1. Bundesliga,available,31,Hertha Berlin,173,"[{""id"":51,""name"":""Pál Dárdai"",""nickname"":null,""dob"":""1976-03-16"",""country"":{""id"":103,""name"":""Hungary""}}]",169,Bayern Munich,"[{""id"":36,""name"":""Josep Guardiola i Sala"",""nickname"":""Pep Guardiola"",""dob"":""1971-01-18"",""country"":{""id"":214,""name"":""Spain""}}]",367,236,false,false,Germany,2015/2016,1
2014/2015,Regular Season,La Liga,available,15,Getafe,216,"[{""id"":4182,""name"":""Cosmin Marius Contra"",""nickname"":""Cosmin Contra"",""dob"":""1975-12-15"",""country"":{""id"":187,""name"":""Romania""}}]",217,Barcelona,"[{""id"":793,""name"":""Luis Enrique Martínez García"",""nickname"":""Luis Enrique"",""dob"":""1970-05-08"",""country"":{""id"":214,""name"":""Spain""}}]",354,,false,false,Spain,2014/2015,1
2015/2016,Regular Season,La Liga,available,13,Rayo Vallecano,360,"[{""id"":220,""name"":""Francisco Jémez Martín"",""nickname"":""Paco Jémez"",""dob"":""1970-04-18"",""country"":{""id"":214,""name"":""Spain""}}]",215,Athletic Club,"[{""id"":227,""name"":""Ernesto Valverde Tejedor"",""nickname"":""Ernesto Valverde"",""dob"":""1964-02-09"",""country"":{""id"":214,""name"":""Spain""}}]",4640,2608,false,false,Spain,2015/2016,1
2015/2016,Regular Season,1. Bundesliga,available,30,Hoffenheim,175,"[{""id"":445,""name"":""Julian Nagelsmann"",""nickname"":null,""dob"":""1987-07-23"",""country"":{""id"":85,""name"":""Germany""}}]",173,Hertha Berlin,"[{""id"":51,""name"":""Pál Dárdai"",""nickname"":null,""dob"":""1976-03-16"",""country"":{""id"":103,""name"":""Hungary""}}]",4541,227,false,false,Germany,2015/2016,1
2015/2016,Regular Season,Serie A,available,23,Inter Milan,238,"[{""id"":2997,""name"":""Roberto Mancini"",""nickname"":null,""dob"":""1964-11-27"",""country"":{""id"":112,""name"":""Italy""}}]",231,Chievo,"[{""id"":114,""name"":""Rolando Maran"",""nickname"":null,""dob"":""1963-07-14"",""country"":{""id"":112,""name"":""Italy""}}]",388,265,false,false,Italy,2015/2016,1
2020/2021,Regular Season,FA Women's Super League,available,10,Manchester United,1475,"[{""id"":2926,""name"":""Casey Stoney"",""nickname"":null,""dob"":""1982-05-13"",""country"":{""id"":68,""name"":""England""}}]",973,Bristol City WFC,"[{""id"":143,""name"":""Tanya Oxtoby"",""nickname"":null,""dob"":""1982-06-15"",""country"":{""id"":14,""name"":""Australia""}}]",4979,928,false,false,England,2020/2021,1
2015/2016,Regular Season,1. Bundesliga,available,31,Schalke 04,181,"[{""id"":58,""name"":""André Breitenreiter"",""nickname"":null,""dob"":""1973-10-02"",""country"":{""id"":85,""name"":""Germany""}}]",904,Bayer Leverkusen,"[{""id"":3980,""name"":""Roger Schmidt"",""nickname"":null,""dob"":""1967-03-13"",""country"":{""id"":85,""name"":""Germany""}}]",370,716,false,false,Germany,2015/2016,1
2015/2016,Regular Season,Ligue 1,available,38,Angers,145,"[{""id"":301,""name"":""Stéphane Moulin"",""nickname"":null,""dob"":""1967-08-04"",""country"":{""id"":78,""name"":""France""}}]",130,Toulouse,"[{""id"":433,""name"":""Pascal Dupraz"",""nickname"":null,""dob"":""1962-09-19"",""country"":{""id"":78,""name"":""France""}}]",153,1950,false,false,France,2015/2016,1
